age,businesstravel,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,Attrition
0.446350404,1,0,-1.010909343,2,0,1,2,1,3,2,0,4,0,-0.084766389,2.169877112,1,-1.150554102,3,1,0,-0.424998665,-2.130765057,1,-0.123832369,-0.05847377,-0.776138513,0.253823468,1
1.322365214,2,1,-0.14714972,1,0,2,3,0,2,2,1,2,1,-0.283072196,-0.68281683,0,2.129306007,4,4,1,-0.151076474,0.278638507,3,0.678077686,0.785615676,-0.372486076,0.822604714,0
0.008342998,1,1,-0.887515111,2,5,4,4,0,2,1,2,3,0,-0.981623359,1.3548217,1,-0.057267399,3,2,0,-0.56195976,0.278638507,3,-1.326697452,-1.183926365,-0.776138513,-1.168129647,1
-0.429664407,2,1,-0.764120879,4,0,5,4,1,3,1,1,3,1,-0.793428161,-0.68281683,1,-1.150554102,3,3,0,-0.424998665,0.278638507,3,0.277122659,0.785615676,0.434818799,-1.168129647,0
-1.086675515,1,1,-0.887515111,1,1,7,1,0,3,1,2,2,1,-0.66497747,2.373640965,0,-0.877232426,3,4,1,-0.698920855,0.278638507,3,-0.925742425,-0.621200067,0.031166362,-0.599348401,0
-0.539166258,2,1,-0.887515111,2,0,8,4,0,3,1,2,4,0,-0.756892097,-1.090344536,0,-0.60391075,3,3,0,-0.424998665,-0.685122918,2,0.076645145,0.785615676,0.434818799,0.538214091,0
2.417383728,1,1,-0.764120879,3,1,10,3,1,4,1,2,1,1,-0.84834715,0.539766288,1,1.30934098,4,1,3,0.122845717,0.278638507,2,-1.126219938,-1.183926365,-0.776138513,-1.168129647,0
-0.758169961,1,1,1.827157989,1,0,11,4,0,3,1,2,3,2,-0.843062059,-0.68281683,0,1.855984331,4,2,1,-1.383726333,-0.685122918,3,-1.126219938,-1.183926365,-0.776138513,-1.168129647,0
0.11784485,2,1,1.703763758,3,0,12,4,0,2,3,3,3,0,0.727069552,-1.090344536,0,1.582662656,4,2,0,-0.151076474,-0.685122918,3,0.477600173,0.785615676,-0.372486076,1.106995337,0
-0.101158853,1,1,2.197340685,3,1,13,3,0,3,2,4,3,1,-0.258485033,1.3548217,0,-0.60391075,3,2,2,0.807651194,0.278638507,2,0.076645145,0.785615676,2.049428549,0.822604714,0
-0.210660704,1,1,0.840004135,3,1,14,1,0,4,1,2,2,1,-0.904415073,-1.090344536,0,-0.60391075,3,3,1,-0.698920855,1.724280646,3,-0.324309883,-0.05847377,-0.776138513,-0.314957778,0
-0.867671812,1,1,0.716609903,2,0,15,4,1,2,2,2,3,0,-0.498382209,-1.090344536,1,-0.877232426,3,4,0,-0.151076474,0.278638507,3,0.477600173,0.222889379,-0.776138513,1.106995337,0
-0.64866811,1,1,2.073946453,1,0,16,1,0,3,1,1,3,2,-0.792968588,-0.68281683,0,0.489375953,3,4,1,-0.835881951,-1.648884344,2,-0.324309883,-0.621200067,0.838471237,-0.314957778,0
-0.320162556,1,1,1.21018683,2,1,18,2,0,3,1,2,4,2,-0.850415229,-1.090344536,0,-1.150554102,3,3,1,-1.109804142,-0.685122918,3,-0.925742425,-0.621200067,-0.372486076,-0.599348401,0
-0.977173664,1,1,1.827157989,3,0,19,3,0,2,1,2,3,0,-0.995870126,0.947293994,1,-0.330589074,3,2,0,-0.698920855,1.242399933,3,-0.524787397,-0.621200067,-0.776138513,-0.314957778,1
-0.867671812,1,1,1.456975294,4,0,20,2,1,4,3,3,1,2,0.831392653,-0.68281683,0,-1.150554102,3,3,1,-0.151076474,-1.648884344,3,0.678077686,1.348341973,2.251254768,1.106995337,0
-0.539166258,1,1,-0.517332416,2,0,21,1,0,4,1,1,2,2,-0.704041186,-1.090344536,1,-0.877232426,3,4,2,-0.56195976,1.724280646,2,-0.123832369,-0.621200067,-0.776138513,0.253823468,0
-1.634184772,0,1,0.840004135,2,1,22,4,0,4,1,2,4,2,-0.78745371,-0.68281683,1,-0.60391075,3,2,2,-1.383726333,-0.685122918,2,-1.126219938,-1.183926365,-0.776138513,-1.168129647,0
1.76037262,1,0,-0.887515111,4,0,23,1,1,2,4,5,4,1,2.083040083,-0.275289124,0,0.216054277,3,3,0,2.382703792,0.278638507,3,2.281897797,1.066978825,0.434818799,0.822604714,0
0.11784485,1,1,-0.887515111,3,0,24,4,0,3,1,1,4,0,-0.555599064,0.947293994,1,-1.150554102,3,3,0,-0.698920855,0.278638507,3,-0.725264911,-0.621200067,-0.372486076,-0.599348401,0
-1.415181069,0,1,0.223032976,2,5,26,1,1,4,2,3,3,2,-0.540203364,-1.090344536,0,0.762697628,3,4,1,-0.835881951,1.724280646,2,-0.524787397,-0.621200067,-0.372486076,-0.314957778,0
-0.101158853,1,0,-0.023755488,4,0,27,3,0,2,1,6,1,0,-0.678994451,1.762349406,0,2.129306007,4,2,0,-0.151076474,1.242399933,3,-0.324309883,-0.339836919,-0.776138513,-0.314957778,1
-0.320162556,1,1,-0.270543952,4,0,28,1,1,3,3,7,2,0,1.294182799,-1.090344536,0,-1.150554102,3,3,0,0.259806813,1.242399933,3,1.079032714,0.504252527,0.031166362,1.960167205,0
-1.743686623,1,1,0.716609903,2,0,30,3,0,3,1,1,4,0,-1.178780233,-0.68281683,0,-0.330589074,3,4,0,-1.520687428,1.724280646,3,-1.326697452,-1.183926365,-0.776138513,-1.168129647,0
-0.320162556,1,1,-0.393938184,1,1,31,2,0,3,1,1,1,0,-0.781709046,-0.275289124,0,-1.150554102,3,3,0,-0.424998665,-0.685122918,3,-0.524787397,-0.621200067,-0.372486076,-0.314957778,1
1.76037262,1,1,-0.517332416,3,5,32,3,1,3,5,5,3,2,2.348213781,0.539766288,0,-1.150554102,3,4,1,2.040301053,0.278638507,2,1.479987742,2.473794568,0.838471237,1.106995337,0
-0.539166258,2,1,0.840004135,1,0,33,2,1,1,1,1,1,0,-0.561343728,-0.68281683,1,1.855984331,4,2,0,-0.151076474,1.724280646,3,0.678077686,-0.621200067,1.645776112,0.822604714,1
0.555852255,1,0,-0.14714972,4,2,35,3,0,3,2,0,2,1,0.106416035,-1.090344536,0,-1.150554102,3,4,1,-0.151076474,-0.685122918,3,0.477600173,0.785615676,0.838471237,-0.599348401,0
0.774855958,1,1,-0.270543952,4,1,36,1,1,2,3,4,4,1,0.892975453,0.132238582,0,-0.330589074,3,4,1,1.766378863,1.242399933,3,2.281897797,0.504252527,1.242123674,2.955534386,0
0.99385966,1,0,-0.887515111,4,2,38,2,1,3,5,5,1,0,2.348213781,0.132238582,0,-0.877232426,3,4,0,1.492456672,-0.685122918,2,-0.925742425,-0.621200067,0.031166362,-0.883739024,0
-0.429664407,1,1,-0.887515111,3,1,39,3,0,3,1,2,4,0,-0.888330013,0.539766288,0,-1.150554102,3,4,0,-0.56195976,0.278638507,3,-1.126219938,-0.902563216,-0.776138513,-1.168129647,0
0.774855958,1,1,0.099638744,4,5,40,4,0,3,2,4,4,1,0.023692871,-0.275289124,1,-0.60391075,3,4,0,-0.288037569,1.724280646,4,-0.524787397,-0.621200067,-0.372486076,-0.314957778,0
-0.758169961,1,1,-0.023755488,2,1,41,4,0,2,1,2,3,0,-0.954968117,-0.68281683,0,-0.60391075,3,1,0,-0.151076474,1.724280646,3,0.678077686,-1.183926365,-0.372486076,1.106995337,0
0.227346701,1,0,-0.517332416,3,3,42,4,0,3,2,6,4,1,-0.982542505,0.132238582,0,-0.330589074,3,3,1,1.081573385,1.724280646,4,-1.126219938,-1.183926365,-0.776138513,-1.168129647,1
